Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,aker buy base asset volume,Taker buy quote asset volume,Ignore
1546275600000,3737.59000000,3742.03000000,3737.58000000,3739.59000000,30.12096200,1546275659999,112639.28308822,82,20.20208000,75550.11226418,0
1546275660000,3741.01000000,3741.05000000,3736.67000000,3738.12000000,8.42738000,1546275719999,31503.49694330,64,3.35251800,12534.05240839,0
1546275720000,3738.73000000,3739.98000000,3738.73000000,3739.98000000,6.16005300,1546275779999,23033.92793631,41,4.15676400,15543.61331726,0
1546275780000,3739.08000000,3741.55000000,3739.06000000,3740.15000000,13.01881900,1546275839999,48687.32396847,74,8.31015300,31079.77120845,0
1546275840000,3741.50000000,3741.64000000,3739.52000000,3740.09000000,11.60341500,1546275899999,43403.84464114,47,3.30351600,12358.21071479,0
1546275900000,3740.09000000,3742.92000000,3739.52000000,3740.83000000,11.43196000,1546275959999,42769.93243795,76,5.71378100,21378.67299403,0
1546275960000,3740.84000000,3741.45000000,3736.91000000,3737.71000000,14.61887400,1546276019999,54651.54119277,67,3.20634300,11986.77574081,0
1546276020000,3738.08000000,3738.89000000,3736.40000000,3736.40000000,6.98370300,1546276079999,26102.73067235,63,2.40416500,8986.02395909,0
1546276080000,3737.20000000,3737.51000000,3722.00000000,3730.44000000,178.41229800,1546276139999,664952.74731333,674,78.07168600,290905.94063313,0
1546276140000,3731.37000000,3740.00000000,3730.32000000,3739.88000000,28.38775700,1546276199999,106029.02277543,202,17.08974200,63837.63452760,0
1546276200000,3739.10000000,3741.66000000,3733.95000000,3734.96000000,14.97381600,1546276259999,55964.76071636,130,4.83449100,18068.95521547,0
1546276260000,3734.88000000,3740.00000000,3734.88000000,3739.35000000,17.39565400,1546276319999,65008.63584179,115,9.39142100,35095.28832799,0
1546276320000,3738.38000000,3739.97000000,3734.09000000,3737.54000000,14.15410900,1546276379999,52905.73088696,99,3.36399800,12576.93615095,0
1546276380000,3734.12000000,3737.43000000,3732.43000000,3733.92000000,9.98833900,1546276439999,37305.08324282,82,6.85132100,25589.33690176,0
1546276440000,3736.03000000,3736.03000000,3730.40000000,3731.33000000,10.15509200,1546276499999,37908.97558572,120,5.10441200,19051.84980006,0
1546276500000,3732.65000000,3734.97000000,3730.72000000,3733.67000000,6.37254600,1546276559999,23792.22573210,75,2.90201500,10836.06082092,0
1546276560000,3733.44000000,3734.18000000,3730.14000000,3731.51000000,11.93119700,1546276619999,44526.55693081,102,5.31215500,19825.25581124,0
1546276620000,3731.63000000,3731.73000000,3723.13000000,3726.73000000,14.35909700,1546276679999,53521.95577525,104,7.18446700,26785.06011248,0
1546276680000,3727.97000000,3730.94000000,3726.65000000,3730.92000000,10.08218900,1546276739999,37595.07932858,84,5.43153000,20257.04781517,0
1546276740000,3729.06000000,3730.92000000,3728.00000000,3729.75000000,8.87791000,1546276799999,33110.16704859,61,3.98164000,14850.18421353,0
1546276800000,3729.96000000,3730.24000000,3726.92000000,3729.95000000,9.20955500,1546276859999,34343.10366656,76,4.96486500,18516.28455484,0
1546276860000,3729.95000000,3730.60000000,3727.14000000,3729.14000000,9.16002000,1546276919999,34157.35884114,69,3.85631200,14382.64056905,0
1546276920000,3728.87000000,3733.33000000,3728.12000000,3730.84000000,11.92640200,1546276979999,44492.36076598,56,6.15795600,22972.87117072,0
1546276980000,3730.85000000,3733.16000000,3729.00000000,3729.00000000,15.38098300,1546277039999,57391.92731752,113,9.43406100,35208.88406339,0
1546277040000,3731.59000000,3733.07000000,3728.30000000,3730.19000000,9.80505300,1546277099999,36582.46994922,42,7.21073500,26904.67435424,0
1546277100000,3730.44000000,3731.83000000,3729.43000000,3729.45000000,5.66968700,1546277159999,21152.53798695,50,2.55049200,9515.87585578,0
1546277160000,3729.45000000,3731.37000000,3728.14000000,3731.24000000,41.04624300,1546277219999,153067.61691738,139,24.84348100,92644.52504817,0
1546277220000,3731.23000000,3731.23000000,3727.02000000,3729.12000000,12.06740200,1546277279999,45009.69428527,90,6.15145000,22948.62249792,0
1546277280000,3730.40000000,3732.19000000,3728.60000000,3731.84000000,11.86718800,1546277339999,44277.39247592,99,8.44293200,31501.13658766,0
1546277340000,3731.62000000,3733.26000000,3731.34000000,3732.62000000,6.86401500,1546277399999,25617.62086875,62,4.10816300,15332.88482167,0
1546277400000,3733.08000000,3733.08000000,3730.76000000,3731.00000000,42.02967400,1546277459999,156864.73209006,129,9.57256600,35722.37968840,0
1546277460000,3731.72000000,3732.81000000,3730.19000000,3730.37000000,15.98142500,1546277519999,59629.84858833,79,7.66430100,28602.22723859,0
1546277520000,3732.46000000,3737.24000000,3729.08000000,3736.14000000,26.54388000,1546277579999,99089.08861630,165,22.36248400,83488.43559538,0
1546277580000,3736.75000000,3739.42000000,3733.45000000,3736.33000000,15.03980500,1546277639999,56197.77704568,127,7.51909000,28103.40029080,0
1546277640000,3736.94000000,3739.39000000,3736.43000000,3738.00000000,7.25251600,1546277699999,27109.94622858,64,4.41396900,16500.67773006,0
1546277700000,3737.98000000,3738.00000000,3735.75000000,3736.50000000,9.14811200,1546277759999,34192.41915268,60,4.67575700,17475.96477271,0
1546277760000,3737.24000000,3739.00000000,3736.64000000,3736.78000000,9.74216100,1546277819999,36411.74982182,61,6.26687600,23423.11813105,0
1546277820000,3737.70000000,3738.86000000,3733.06000000,3737.62000000,9.37603800,1546277879999,35037.77934237,65,2.67142100,9985.04574227,0
1546277880000,3737.91000000,3739.00000000,3735.45000000,3738.09000000,6.90978200,1546277939999,25828.30378232,51,4.97364800,18591.94549258,0
1546277940000,3738.98000000,3739.00000000,3736.93000000,3738.75000000,6.08469800,1546277999999,22746.10383992,58,3.27691700,12250.85595737,0
1546278000000,3738.00000000,3738.78000000,3737.00000000,3737.01000000,7.19910300,1546278059999,26912.00797628,57,4.23418900,15828.98683712,0
1546278060000,3738.07000000,3738.26000000,3735.80000000,3737.34000000,4.85838400,1546278119999,18155.67223254,54,2.05654400,7686.54174490,0
1546278120000,3736.52000000,3736.92000000,3733.40000000,3734.82000000,15.38087200,1546278179999,57448.30368408,89,9.14773900,34166.18346819,0
1546278180000,3735.93000000,3736.93000000,3734.05000000,3735.46000000,7.07870700,1546278239999,26444.24295733,64,4.35728500,16280.09912551,0
1546278240000,3736.36000000,3738.43000000,3735.57000000,3737.82000000,12.58182700,1546278299999,47017.38268086,62,6.77526300,25321.75029244,0
1546278300000,3737.52000000,3738.54000000,3735.22000000,3737.81000000,6.11561000,1546278359999,22856.12222313,66,4.72650900,17665.12664690,0
1546278360000,3737.80000000,3738.83000000,3737.13000000,3737.15000000,6.77481600,1546278419999,25321.57178481,69,4.15533000,15531.45212315,0
1546278420000,3737.15000000,3738.17000000,3736.32000000,3736.41000000,4.62760400,1546278479999,17293.65442996,39,1.76541300,6597.61337207,0
1546278480000,3736.78000000,3738.11000000,3735.23000000,3735.88000000,15.06214900,1546278539999,56282.54831966,88,6.78356800,25350.50916561,0
1546278540000,3737.50000000,3739.26000000,3736.51000000,3738.52000000,7.73847300,1546278599999,28925.94029041,50,5.75604500,21516.90121218,0
1546278600000,3738.39000000,3739.39000000,3736.72000000,3739.33000000,13.68328400,1546278659999,51155.57016450,90,6.87496300,25702.58775255,0
1546278660000,3739.38000000,3739.55000000,3736.87000000,3737.58000000,8.65398400,1546278719999,32353.38782042,72,4.98633500,18642.96670042,0
1546278720000,3736.64000000,3737.60000000,3735.00000000,3735.34000000,10.48799600,1546278779999,39186.01496528,89,5.87776100,21961.85516417,0
1546278780000,3735.34000000,3736.45000000,3734.11000000,3735.36000000,9.41802500,1546278839999,35178.71510448,113,6.83597400,25534.27635949,0
1546278840000,3735.63000000,3737.39000000,3735.58000000,3735.87000000,5.88919200,1546278899999,22003.96728623,43,4.34611900,16238.33973110,0
1546278900000,3736.34000000,3738.24000000,3735.34000000,3737.99000000,3.92766300,1546278959999,14675.80949549,57,2.54908900,9524.82619889,0
1546278960000,3736.79000000,3737.90000000,3734.19000000,3735.32000000,9.74101100,1546279019999,36392.33491421,46,3.74492600,13992.85547803,0
1546279020000,3734.76000000,3735.30000000,3734.00000000,3734.01000000,9.12205100,1546279079999,34066.58405406,51,3.42646000,12797.81377157,0
1546279080000,3734.01000000,3735.12000000,3732.76000000,3733.72000000,27.32067100,1546279139999,102028.77800119,95,7.71628700,28815.63657250,0
1546279140000,3734.44000000,3737.98000000,3732.82000000,3736.31000000,29.24785800,1546279199999,109204.87104700,98,6.10869100,22820.11740189,0
1546279200000,3736.57000000,3737.81000000,3733.19000000,3734.95000000,6.72484400,1546279259999,25121.96113617,88,3.92527300,14665.38759271,0
1546279260000,3734.16000000,3734.97000000,3733.77000000,3734.57000000,11.04469600,1546279319999,41245.77156807,82,7.65510400,28588.31196422,0
1546279320000,3734.19000000,3736.80000000,3734.17000000,3736.66000000,22.11834100,1546279379999,82627.50092562,78,8.41998500,31446.55943233,0
1546279380000,3736.66000000,3738.40000000,3736.66000000,3738.20000000,15.56182000,1546279439999,58168.35799422,79,5.01263600,18736.24442898,0
1546279440000,3738.20000000,3738.71000000,3737.00000000,3737.07000000,8.30196900,1546279499999,31031.75588677,66,2.36067700,8824.75311693,0
1546279500000,3737.07000000,3738.30000000,3735.85000000,3737.62000000,8.15153000,1546279559999,30463.93626022,91,3.51349300,13131.25040070,0
1546279560000,3738.29000000,3738.29000000,3736.85000000,3737.40000000,6.08282000,1546279619999,22733.79534840,55,3.05457900,11416.39936124,0
1546279620000,3737.40000000,3738.29000000,3736.44000000,3738.29000000,17.41386200,1546279679999,65085.28305361,75,4.44143600,16601.85776190,0
1546279680000,3738.34000000,3738.34000000,3731.64000000,3734.09000000,16.41276400,1546279739999,61290.40861709,104,6.02708900,22509.68216741,0
1546279740000,3734.09000000,3737.30000000,3734.09000000,3735.96000000,29.86766300,1546279799999,111588.15716586,96,7.18890000,26857.32213876,0
1546279800000,3735.15000000,3737.44000000,3734.77000000,3735.01000000,6.54349900,1546279859999,24444.68524064,62,3.60593100,13471.72813051,0
1546279860000,3735.01000000,3737.21000000,3734.77000000,3736.58000000,8.08767500,1546279919999,30216.00177248,86,3.58340600,13388.16931753,0
1546279920000,3736.58000000,3739.35000000,3736.03000000,3736.04000000,9.48876600,1546279979999,35463.62863094,80,4.01959800,15021.84580281,0
1546279980000,3736.04000000,3736.51000000,3735.00000000,3736.50000000,6.11057800,1546280039999,22827.00835725,49,3.14961700,11767.08554659,0
1546280040000,3736.48000000,3737.44000000,3735.06000000,3737.42000000,10.71515100,1546280099999,40037.38911018,70,5.35437100,20006.26585091,0
1546280100000,3736.89000000,3737.42000000,3735.06000000,3735.97000000,5.39469000,1546280159999,20155.60118470,47,3.46906700,12961.37386220,0
1546280160000,3736.14000000,3737.29000000,3735.39000000,3736.17000000,7.62265200,1546280219999,28481.50684395,85,5.22633100,19528.50815830,0
1546280220000,3736.55000000,3737.97000000,3735.72000000,3737.17000000,4.68891700,1546280279999,17521.08159464,43,3.15882100,11803.64565485,0
1546280280000,3737.17000000,3738.81000000,3736.28000000,3736.29000000,7.85661400,1546280339999,29365.05156142,71,2.48349400,9282.91546301,0
1546280340000,3736.27000000,3739.58000000,3736.23000000,3737.98000000,8.02291700,1546280399999,29988.46370849,85,4.42054300,16524.67674458,0
1546280400000,3738.30000000,3741.60000000,3738.30000000,3739.29000000,20.18544900,1546280459999,75487.08946463,123,15.03009000,56208.63361318,0
1546280460000,3740.24000000,3741.45000000,3739.33000000,3740.00000000,11.66073800,1546280519999,43617.56880507,117,4.12142700,15415.90762273,0
1546280520000,3741.21000000,3741.21000000,3740.00000000,3740.64000000,4.69979100,1546280579999,17580.29983558,49,3.15120900,11787.93242395,0
1546280580000,3740.62000000,3740.65000000,3740.00000000,3740.00000000,10.96230600,1546280639999,41002.02890637,80,3.68133700,13769.54225301,0
1546280640000,3740.36000000,3741.11000000,3740.00000000,3740.01000000,6.28279400,1546280699999,23498.65974621,72,3.35942500,12565.03354525,0
