Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,aker buy base asset volume,Taker buy quote asset volume,Ignore
1577811600000,7212.45000000,7212.46000000,7208.90000000,7210.12000000,7.38127900,1577811659999,53220.59138462,121,4.21876300,30418.58531377,0
1577811660000,7210.00000000,7210.00000000,7204.61000000,7207.18000000,13.62731000,1577811719999,98212.80472357,157,3.33882000,24060.56334472,0
1577811720000,7207.86000000,7208.00000000,7205.51000000,7206.67000000,6.97787000,1577811779999,50288.22243918,119,2.15202800,15509.96623917,0
1577811780000,7206.33000000,7208.68000000,7205.51000000,7205.51000000,9.92720300,1577811839999,71541.04588051,130,2.92587500,21087.65649722,0
1577811840000,7205.51000000,7206.24000000,7204.05000000,7205.00000000,12.07994400,1577811899999,87037.54739238,175,2.21796100,15981.02810369,0
1577811900000,7204.99000000,7204.99000000,7204.11000000,7204.24000000,11.18024800,1577811959999,80549.76872426,111,6.50778100,46887.94468929,0
1577811960000,7204.97000000,7209.00000000,7204.24000000,7208.15000000,16.52087700,1577812019999,119050.27659333,130,10.90240100,78561.06304865,0
1577812020000,7208.95000000,7212.36000000,7208.09000000,7211.49000000,15.18238600,1577812079999,109454.26445924,144,13.09993500,94440.41158288,0
1577812080000,7211.47000000,7212.07000000,7208.00000000,7208.94000000,9.95654200,1577812139999,71794.18099129,126,3.09015800,22280.85354542,0
1577812140000,7208.94000000,7210.15000000,7207.38000000,7209.26000000,15.89726500,1577812199999,114603.39172192,130,8.79474600,63401.56204077,0
1577812200000,7208.65000000,7210.20000000,7208.64000000,7210.13000000,8.09013500,1577812259999,58325.12094848,87,2.36454900,17047.35251662,0
1577812260000,7209.25000000,7210.13000000,7207.19000000,7208.08000000,8.54735900,1577812319999,61617.08386905,104,4.94040500,35616.46489671,0
1577812320000,7208.53000000,7210.10000000,7208.07000000,7210.07000000,6.36343300,1577812379999,45876.67170961,77,2.74644500,19799.56378749,0
1577812380000,7209.99000000,7211.34000000,7207.00000000,7208.10000000,23.33512400,1577812439999,168230.80940263,122,9.97206900,71898.61565469,0
1577812440000,7207.19000000,7209.57000000,7206.17000000,7206.70000000,5.22160200,1577812499999,37635.21567112,86,1.69468700,12215.14300416,0
1577812500000,7205.91000000,7207.54000000,7203.00000000,7204.13000000,9.03525200,1577812559999,65104.49938333,184,4.34983700,31344.60747982,0
1577812560000,7204.29000000,7206.03000000,7203.11000000,7205.65000000,11.86413300,1577812619999,85481.62594227,224,7.56815500,54530.89679661,0
1577812620000,7205.67000000,7209.69000000,7203.66000000,7209.69000000,16.89122000,1577812679999,121727.24423880,276,13.08074500,94266.40997672,0
1577812680000,7209.21000000,7209.68000000,7206.00000000,7206.67000000,5.60582600,1577812739999,40404.49332126,75,3.72550700,26851.90194080,0
1577812740000,7207.52000000,7208.75000000,7206.68000000,7208.55000000,8.20903600,1577812799999,59168.62260758,105,5.41814100,39054.24711817,0
1577812800000,7208.55000000,7213.56000000,7207.78000000,7212.67000000,22.98550600,1577812859999,165713.13126979,174,19.41795900,139985.78298725,0
1577812860000,7212.36000000,7212.69000000,7206.01000000,7206.71000000,5.69598800,1577812919999,41057.44642250,103,2.60355700,18766.72554426,0
1577812920000,7206.69000000,7206.69000000,7204.90000000,7204.92000000,5.19597100,1577812979999,37438.33342818,85,3.29439800,23737.19055030,0
1577812980000,7204.93000000,7206.11000000,7202.00000000,7206.08000000,10.98081000,1577813039999,79109.43731794,118,5.01501000,36134.54324949,0
1577813040000,7205.10000000,7206.72000000,7201.13000000,7201.14000000,12.33558700,1577813099999,88848.12002467,132,2.39016800,17216.22504673,0
1577813100000,7201.60000000,7201.99000000,7201.00000000,7201.90000000,8.93873800,1577813159999,64370.65579814,135,4.06093600,29244.88830464,0
1577813160000,7201.90000000,7201.90000000,7200.00000000,7200.01000000,38.91521900,1577813219999,280207.56253231,313,4.51660400,32524.60087866,0
1577813220000,7200.01000000,7201.54000000,7199.00000000,7201.44000000,14.29083100,1577813279999,102898.10437807,145,4.41843400,31815.24676792,0
1577813280000,7201.43000000,7201.99000000,7200.27000000,7200.92000000,7.27967200,1577813339999,52424.08315147,124,4.83747300,34838.18442625,0
1577813340000,7201.84000000,7201.98000000,7200.00000000,7201.72000000,11.12797100,1577813399999,80132.30928668,203,8.10740100,58382.97179554,0
1577813400000,7201.72000000,7204.48000000,7200.62000000,7204.48000000,11.97628900,1577813459999,86260.36048184,109,10.72461500,77245.02279815,0
1577813460000,7204.29000000,7204.29000000,7201.75000000,7202.27000000,6.46435500,1577813519999,46561.37035489,85,3.59586500,25899.31510353,0
1577813520000,7202.09000000,7202.29000000,7195.00000000,7195.87000000,23.07538800,1577813579999,166079.71802616,328,6.73295600,48458.68033023,0
1577813580000,7195.94000000,7200.06000000,7194.96000000,7196.42000000,10.61168200,1577813639999,76379.95210178,208,6.42712500,46263.96404672,0
1577813640000,7196.42000000,7197.02000000,7191.55000000,7192.60000000,16.87468400,1577813699999,121386.32338606,247,7.76942600,55891.31879338,0
1577813700000,7192.30000000,7195.26000000,7188.88000000,7193.50000000,42.72015000,1577813759999,307221.71648024,341,8.26162900,59428.49220515,0
1577813760000,7193.51000000,7194.24000000,7187.01000000,7189.32000000,21.00503200,1577813819999,151041.72518615,320,8.02269700,57690.73582925,0
1577813820000,7189.32000000,7189.93000000,7181.94000000,7186.18000000,120.19177700,1577813879999,863701.61814549,590,20.91204000,150265.23717829,0
1577813880000,7184.37000000,7189.40000000,7178.52000000,7179.31000000,52.88832100,1577813939999,379869.40422855,497,15.01844500,107922.13103754,0
1577813940000,7179.31000000,7181.85000000,7161.00000000,7180.44000000,200.59211800,1577813999999,1438296.31354216,1676,71.10129800,509874.17542632,0
1577814000000,7181.46000000,7185.32000000,7170.00000000,7180.38000000,31.97762300,1577814059999,229532.23654801,374,13.62267100,97797.39959506,0
1577814060000,7180.63000000,7184.09000000,7172.30000000,7180.05000000,29.12525300,1577814119999,209112.94958811,332,11.66679800,83757.96346097,0
1577814120000,7179.34000000,7181.22000000,7173.76000000,7180.49000000,34.47081200,1577814179999,247485.57618619,324,16.11524500,115699.52038128,0
1577814180000,7180.49000000,7181.19000000,7175.61000000,7181.19000000,21.24828300,1577814239999,152549.89458500,187,8.18945400,58794.56154543,0
1577814240000,7181.18000000,7181.18000000,7175.44000000,7179.24000000,20.67725000,1577814299999,148421.26413510,268,8.89819600,63876.92043219,0
1577814300000,7179.24000000,7179.98000000,7170.54000000,7173.54000000,23.04532900,1577814359999,165372.06320962,251,4.57423800,32823.43510409,0
1577814360000,7172.33000000,7174.52000000,7168.13000000,7171.22000000,15.84875100,1577814419999,113654.34176081,214,5.75844900,41303.13203791,0
1577814420000,7169.26000000,7170.68000000,7161.68000000,7168.54000000,70.06277500,1577814479999,502115.60738617,446,41.47538900,297236.49263593,0
1577814480000,7168.54000000,7170.70000000,7159.00000000,7159.00000000,50.57262000,1577814539999,362182.85590930,605,13.64388000,97736.48858516,0
1577814540000,7159.44000000,7167.58000000,7159.00000000,7166.54000000,36.09071300,1577814599999,258485.80383999,302,25.07603300,179601.09748898,0
1577814600000,7166.09000000,7167.22000000,7151.00000000,7153.41000000,87.64241400,1577814659999,627215.45504132,844,13.22890800,94697.25711882,0
1577814660000,7153.41000000,7164.95000000,7152.20000000,7164.24000000,36.48591500,1577814719999,261191.96650195,356,28.41564300,203421.43656811,0
1577814720000,7164.92000000,7172.37000000,7163.56000000,7171.02000000,20.47126100,1577814779999,146734.27271664,295,11.52291100,82590.68164579,0
1577814780000,7171.03000000,7172.97000000,7163.07000000,7163.46000000,65.00902900,1577814839999,466024.41454650,292,43.76564200,313781.49153670,0
1577814840000,7163.07000000,7173.26000000,7163.07000000,7170.38000000,53.89390300,1577814899999,386280.56813106,194,44.92363800,321966.01697037,0
1577814900000,7170.38000000,7172.16000000,7164.34000000,7171.35000000,12.52753900,1577814959999,89805.16805201,156,6.58864200,47236.72050049,0
1577814960000,7172.13000000,7177.99000000,7165.28000000,7167.60000000,25.55874600,1577815019999,183317.21923526,271,9.07359200,65092.04953230,0
1577815020000,7167.54000000,7170.86000000,7165.06000000,7169.62000000,50.37037000,1577815079999,360960.83717234,166,44.09663000,316000.43852772,0
1577815080000,7169.64000000,7174.12000000,7166.77000000,7167.83000000,39.98466200,1577815139999,286720.67042485,190,15.19911100,108996.92119083,0
1577815140000,7166.79000000,7169.00000000,7166.54000000,7168.12000000,23.17390400,1577815199999,166110.24192703,132,17.05222900,122233.66698973,0
1577815200000,7167.72000000,7167.92000000,7158.00000000,7160.32000000,49.10263600,1577815259999,351698.62197051,236,11.25534400,80612.52565106,0
1577815260000,7160.32000000,7160.33000000,7150.00000000,7154.95000000,97.15382100,1577815319999,694821.72530235,600,10.95107500,78338.56520653,0
1577815320000,7154.95000000,7159.85000000,7151.00000000,7158.16000000,20.53776100,1577815379999,146955.78296350,229,9.83793400,70401.07742724,0
1577815380000,7159.60000000,7161.43000000,7150.00000000,7151.25000000,31.61151000,1577815439999,226128.29848581,395,8.33940900,59685.55363841,0
1577815440000,7151.27000000,7152.21000000,7147.00000000,7147.99000000,53.27391200,1577815499999,380872.33468540,560,10.12506400,72390.04365417,0
1577815500000,7147.00000000,7155.47000000,7145.89000000,7152.09000000,36.03934000,1577815559999,257656.30836634,382,14.20260300,101560.93182809,0
1577815560000,7152.15000000,7152.78000000,7145.01000000,7146.18000000,24.96514300,1577815619999,178426.21789023,339,9.87553000,70591.36600478,0
1577815620000,7146.17000000,7156.51000000,7145.17000000,7155.44000000,28.65871700,1577815679999,204911.34963659,279,19.43650500,138982.54276894,0
1577815680000,7155.49000000,7159.31000000,7152.07000000,7156.60000000,20.73810500,1577815739999,148401.29236194,254,12.94692700,92653.78560954,0
1577815740000,7155.99000000,7156.22000000,7147.08000000,7151.94000000,20.22285900,1577815799999,144612.70848993,198,4.40608600,31506.63837399,0
1577815800000,7150.77000000,7154.78000000,7150.41000000,7153.97000000,10.84415500,1577815859999,77553.34351616,125,6.00671900,42959.53209730,0
1577815860000,7154.29000000,7159.31000000,7153.82000000,7153.82000000,30.15673900,1577815919999,215828.49828069,239,16.28066100,116525.81197713,0
1577815920000,7154.40000000,7154.40000000,7150.12000000,7153.72000000,15.11161600,1577815979999,108082.91702952,201,6.55924300,46914.14687208,0
1577815980000,7153.17000000,7154.79000000,7150.71000000,7154.14000000,18.35254000,1577816039999,131263.42540551,145,8.19812600,58639.53953141,0
1577816040000,7154.92000000,7159.31000000,7154.19000000,7159.31000000,8.97496000,1577816099999,64232.48696349,122,6.10260000,43678.27475542,0
1577816100000,7159.31000000,7159.31000000,7152.85000000,7152.86000000,26.77795700,1577816159999,191619.62768502,214,8.44037000,60407.21422727,0
1577816160000,7152.85000000,7156.24000000,7150.00000000,7150.22000000,39.46055900,1577816219999,282213.53255161,242,10.42280700,74563.50542382,0
1577816220000,7150.22000000,7153.18000000,7146.21000000,7150.56000000,31.71656600,1577816279999,226753.60561086,250,9.92059700,70925.47646704,0
1577816280000,7150.48000000,7156.16000000,7149.20000000,7156.09000000,21.05736300,1577816339999,150622.30339913,121,11.51240100,82342.29248489,0
1577816340000,7155.12000000,7156.30000000,7151.70000000,7152.49000000,11.75913800,1577816399999,84124.89557569,117,6.30910500,45136.25908681,0
1577816400000,7152.78000000,7154.41000000,7150.05000000,7152.22000000,7.81424100,1577816459999,55885.04640580,105,4.41769000,31595.14681363,0
1577816460000,7154.23000000,7158.31000000,7152.14000000,7157.88000000,14.13246100,1577816519999,101123.85246166,198,12.06894700,86359.78862762,0
1577816520000,7157.44000000,7160.93000000,7155.03000000,7155.03000000,20.91028900,1577816579999,149692.54285879,203,10.56970600,75671.96533767,0
1577816580000,7155.65000000,7156.32000000,7149.99000000,7150.00000000,165.29552400,1577816639999,1182002.06964075,260,110.88802700,792868.87732382,0
1577816640000,7150.00000000,7155.34000000,7149.99000000,7152.24000000,31.02540200,1577816699999,221883.03713191,220,27.11083100,193881.81251747,0
1577816700000,7153.67000000,7159.23000000,7153.11000000,7159.22000000,12.39890800,1577816759999,88717.17472349,141,11.23648500,80398.82445593,0
1577816760000,7159.23000000,7162.26000000,7156.40000000,7161.44000000,22.07045000,1577816819999,158014.76883556,188,16.96262300,121448.94877195,0
1577816820000,7160.76000000,7161.46000000,7154.31000000,7156.23000000,21.91006200,1577816879999,156869.48430599,289,14.49591500,103784.39604379,0
1577816880000,7156.23000000,7163.20000000,7155.94000000,7161.82000000,11.01405500,1577816939999,78862.07262923,165,8.65673300,61982.47645064,0
